"Story","Title","Result","Date","Stability","Duration (s)"
"Utilities CURD test with steps","This will give healthcheck information","SUCCESS","2022-06-06T23:14:04.925+01:00[Europe/London]","0.0","13.38"
"Categories CURD test with steps","This will create a new category","SUCCESS","2022-06-06T23:14:11.884+01:00[Europe/London]","0.0","7.57"
"Utilities CURD test with steps","This will give vesrion information","SUCCESS","2022-06-06T23:14:18.376+01:00[Europe/London]","0.0","0.16"
"Categories CURD test with steps","Verify if the category was added to the stock","SUCCESS","2022-06-06T23:14:19.569+01:00[Europe/London]","0.0","0.32"
"Categories CURD test with steps","Update the category information and verify updated categories","SUCCESS","2022-06-06T23:14:19.891+01:00[Europe/London]","0.0","0.39"
"Categories CURD test with steps","Delete the category and verify if the category is deleted!","SUCCESS","2022-06-06T23:14:20.287+01:00[Europe/London]","0.0","0.76"
"Product CURD test with steps","This will create a new product","SUCCESS","2022-06-06T23:14:23.474+01:00[Europe/London]","0.0","0.17"
"Product CURD test with steps","Verify if the product was added to the stock","SUCCESS","2022-06-06T23:14:23.655+01:00[Europe/London]","0.0","0.05"
"Product CURD test with steps","Update the product information and verify updated information","SUCCESS","2022-06-06T23:14:23.704+01:00[Europe/London]","0.0","0.14"
"Product CURD test with steps","Delete the product and verify if the product is deleted!","SUCCESS","2022-06-06T23:14:23.843+01:00[Europe/London]","0.0","0.14"
"Service CURD test with steps","This will create a new Service","SUCCESS","2022-06-06T23:14:24.085+01:00[Europe/London]","0.0","0.12"
"Service CURD test with steps","Verify if the service was added to the stock","SUCCESS","2022-06-06T23:14:24.205+01:00[Europe/London]","0.0","0.05"
"Service CURD test with steps","Update the service information and verify updated services","SUCCESS","2022-06-06T23:14:24.256+01:00[Europe/London]","0.0","0.09"
"Service CURD test with steps","Delete the service and verify if the service is deleted!","SUCCESS","2022-06-06T23:14:24.346+01:00[Europe/London]","0.0","0.1"
"Store CURD test with steps","This will create a new store","SUCCESS","2022-06-06T23:14:24.553+01:00[Europe/London]","0.0","0.14"
"Store CURD test with steps","Verify if the store was added to the stock","SUCCESS","2022-06-06T23:14:24.694+01:00[Europe/London]","0.0","0.04"
"Store CURD test with steps","Update the store information and verify updated information","SUCCESS","2022-06-06T23:14:24.736+01:00[Europe/London]","0.0","0.11"
"Store CURD test with steps","Delete the store and verify if the store is deleted!","SUCCESS","2022-06-06T23:14:24.851+01:00[Europe/London]","0.0","0.25"
